task,method,split,axis,reference_derivative,prediction_derivative,derivative_std,source,abs_derivative_error
I_dark,deterministic_kan,test,-1.0,-0.1631452229220578,-0.16209716,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0010480629220578075
I_dark,deterministic_kan,test,-1.4,-0.1253448032416848,-0.12621053,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0008657267583151995
I_dark,deterministic_kan,test,-0.2,-0.8339251760281101,-0.8505659,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.01664072397188987
I_dark,deterministic_kan,test,-0.6000000000000001,-0.2736056130626565,-0.2526845,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.020921113062656538
I_dark,deterministic_kan,test,-2.8000000000000003,-0.0450130862760573,-0.045291424,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.000278337723942694
I_dark,deterministic_kan,test,-2.2,-0.0596923972216352,-0.056990333,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0027020642216352003
I_dark,deterministic_kan,test,-1.0,-0.1544148226523578,-0.15476626,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.00035143734764217505
I_dark,deterministic_kan,test,-3.0,-0.0403603644098939,-0.036383577,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.003976787409893899
I_dark,deterministic_kan,test,-0.4,-0.4964470847852347,-0.47742605,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.019021034785234703
I_dark,deterministic_kan,test,-0.6000000000000001,-0.2820811337222828,-0.26495764,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.01712349372228278
I_dark,deterministic_kan,test,-2.6,-0.0477658799522799,-0.050140485,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0023746050477201006
I_dark,deterministic_kan,test,-1.2000000000000002,-0.1442352238620934,-0.14444613,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0002109061379066135
I_dark,deterministic_kan,test,-0.2,-0.8224886972329841,-0.8325586,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.010069902767015915
I_dark,deterministic_kan,test,-1.0,-0.1624076523519555,-0.1645669,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.002159247648044482
I_dark,deterministic_kan,test,-1.6,-0.097148567222586,-0.09811116,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0009625927774140064
I_dark,deterministic_kan,test,-0.8,-0.207059905057207,-0.18785016,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.019209745057207017
I_dark,deterministic_kan,test,-2.4000000000000004,-0.0541997982429478,-0.05532858,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.001128781757052201
I_dark,deterministic_kan,test,-1.4,-0.1193846324360166,-0.11752244,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0018621924360165965
I_dark,deterministic_kan,test,-0.8,-0.1932473083780053,-0.18476583,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.008481478378005308
I_dark,deterministic_kan,test,-3.0,-0.0403593557055863,-0.0359806,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.004378755705586296
I_dark,deterministic_kan,test,-0.4,-0.5183744231441594,-0.50007886,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.018295563144159366
I_dark,deterministic_kan,test,-0.4,-0.5205286895279038,-0.5025302,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.017998489527903727
I_dark,deterministic_kan,test,-0.4,-0.5323555833800064,-0.5005652,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.03179038338000639
I_dark,deterministic_kan,test,-2.2,-0.0608138446087096,-0.057505,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.003308844608709602
I_dark,deterministic_kan,test,-1.0,-0.1621385935675334,-0.16456364,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0024250464324666043
I_dark,deterministic_kan,test,-1.8,-0.0871260472052348,-0.087805204,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0006791567947651983
I_dark,deterministic_kan,test,-1.8,-0.0813993757414124,-0.08356238,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.002163004258587606
I_dark,deterministic_kan,test,-0.4,-0.5061760211121573,-0.4986334,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.007542621112157311
I_dark,deterministic_kan,test,-2.4000000000000004,-0.0540591544754356,-0.051699843,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0023593114754355965
I_dark,deterministic_kan,test,-1.0,-0.1667715489040624,-0.16591614,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0008554089040624102
I_dark,deterministic_kan,test,-0.8,-0.197629208557089,-0.1882088,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.009420408557088977
I_dark,deterministic_kan,test,-1.4,-0.1246886260024169,-0.12044503,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.004243596002416902
I_dark,deterministic_kan,test,-1.8,-0.0792142133670417,-0.080979854,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0017656406329583096
I_dark,deterministic_kan,test,-1.8,-0.0805910643002398,-0.08086779,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.00027672569976019967
I_dark,deterministic_kan,test,-0.8,-0.19662830439961,-0.18751204,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.009116264399609997
I_dark,deterministic_kan,test,-0.2,-0.8109282103426949,-0.82500666,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.014078449657305092
I_dark,deterministic_kan,test,-3.0,-0.0386876739212453,-0.035708938,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0029787359212452985
I_dark,deterministic_kan,test,-2.8000000000000003,-0.045279797913075,-0.04513356,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.000146237913074998
I_dark,deterministic_kan,test,-0.8,-0.2081868501195174,-0.20264234,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0055445101195173985
I_dark,deterministic_kan,test,-2.6,-0.0486514376860114,-0.049807515,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0011560773139885974
I_dark,deterministic_kan,test,-0.2,-0.7956279787674632,-0.79665285,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.001024871232536806
I_dark,deterministic_kan,test,-3.0,-0.0404769184580402,-0.036285393,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0041915254580401975
I_dark,deterministic_kan,test,-1.4,-0.1216439654380217,-0.11898605,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.002657915438021699
I_dark,deterministic_kan,test,-0.6000000000000001,-0.2606015505765864,-0.22167268,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.038928870576586394
I_dark,deterministic_kan,test,-1.6,-0.0881461419854208,-0.09401368,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.005867538014579204
I_dark,deterministic_kan,test,-0.8,-0.197048564056228,-0.18199664,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.015051924056228017
I_dark,deterministic_kan,test,-3.0,-0.0406793779007763,-0.0364944,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0041849779007763
I_dark,deterministic_kan,test,-0.2,-0.8140733487846319,-0.8110473,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.003026048784631863
I_dark,deterministic_kan,test,-3.0,-0.0413179360236206,-0.036555443,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.004762493023620598
I_dark,deterministic_kan,test,-0.6000000000000001,-0.2866269236769305,-0.26740548,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.019221443676930516
I_dark,deterministic_kan,test,-2.2,-0.0602603942524915,-0.05930479,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0009556042524914987
I_dark,deterministic_kan,test,-3.0,-0.0412684574416957,-0.03603055,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.005237907441695701
I_dark,deterministic_kan,test,-2.0,-0.0702700321859737,-0.069379315,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0008907171859737079
I_dark,deterministic_kan,test,-1.4,-0.1205352386504472,-0.11652576,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.004009478650447193
I_dark,deterministic_kan,test,-1.8,-0.0804734416924759,-0.08043601,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,3.74316924759005e-05
I_dark,deterministic_kan,test,-2.4000000000000004,-0.0553699383250503,-0.053019635,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.002350303325050297
I_dark,deterministic_kan,test,-2.6,-0.0481546633225224,-0.049193863,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0010391996774775994
I_dark,deterministic_kan,test,-1.0,-0.1652969708800817,-0.16632833,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.001031359119918307
I_dark,deterministic_kan,test,-3.0,-0.0405927390948512,-0.036693245,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0038994940948511997
