task,seed,model,rmse_target,mae_target,r2_target,rmse_raw,mae_raw,medape_percent,p95ape_percent,reused,reuse_source,wall_time_s,train_groups,validation_groups,calibration_groups,test_groups
I_dark,50,spline_ridge,0.003645243592979358,0.002454970794718673,0.9995139129040636,2.4226157659759152e-09,1.6317446720981905e-09,0.3600250238314555,1.5808615294122657,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_50/I_dark/spline_ridge/test_predictions.csv,0.02925249800000529,104,16,24,16
I_dark,50,gmls,0.03755995123296861,0.017077321900142318,0.9483927139324747,1.986513931898714e-08,9.138866857767171e-09,1.1886938056039806,10.490250456178519,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_50/I_dark/gmls/test_predictions.csv,0.029640689000004272,104,16,24,16
I_dark,50,autopinn,0.02862054187464755,0.018946174694115595,0.9700348341644478,1.3339197594459317e-08,1.0538280275066829e-08,2.7286793939739784,13.85348092248977,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_50/I_dark/autopinn/test_predictions.csv,0.030441654999989964,104,16,24,16
I_dark,50,curve_lut,0.05322728362000073,0.029104600213162992,0.8963594789455297,2.9159008468407343e-08,1.8143401166302092e-08,3.2456576414096467,53.62752249602292,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_50/I_dark/curve_lut/test_predictions.csv,0.0304589309999983,104,16,24,16
I_dark,51,bkan,0.009599551779931326,0.004067372390885208,0.9975246880319438,2.8317318376255516e-09,1.9163105679759708e-09,0.4600895713502112,2.2979587727343405,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_51/I_dark/bkan/test_predictions.csv,0.04083350899999516,104,16,24,16
I_dark,51,dkan,0.02292254532084092,0.016499192830198857,0.9858858830825513,1.4683044268578986e-08,1.0841224757973213e-08,2.4267909052794874,9.269714125847967,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_51/I_dark/dkan/test_predictions.csv,0.030903800000004367,104,16,24,16
I_dark,51,mlp_l,0.016922369888403475,0.012283110661987232,0.9923078030064615,8.434728663900444e-09,6.844027121736057e-09,2.0747315069380017,9.815420614576643,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_51/I_dark/mlp_l/test_predictions.csv,0.030417776999996704,104,16,24,16
I_dark,51,spline_ridge,0.004991383973922693,0.003603926014810684,0.9993307783365446,2.874804950377753e-09,2.223619851941306e-09,0.6197240973538267,2.0745302027631007,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_51/I_dark/spline_ridge/test_predictions.csv,0.03209232499999359,104,16,24,16
I_dark,51,gmls,0.02994915990343338,0.021784525334872965,0.9759066427773281,2.2741298189162697e-08,1.4823795738266366e-08,3.6218724070577064,14.96454145840388,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_51/I_dark/gmls/test_predictions.csv,0.030605389000001537,104,16,24,16
I_dark,51,autopinn,0.01687548334215433,0.01129590063581571,0.992350369256247,1.1316777301267057e-08,7.120785056491609e-09,1.4488843441679018,7.714779947781708,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_51/I_dark/autopinn/test_predictions.csv,0.029810759000000076,104,16,24,16
