task,metric,baseline,n_pairs,baseline_minus_bkan_mean,corrected_ci95_low,corrected_ci95_high,corrected_standard_error,corrected_p_value,baseline_better_runs,ties,bkan_better_runs,corrected_p_value_holm_global,multiplicity_family
Capacitance,rmse_model_space,equal_budget_deep_ensemble_mlp,10,-5.621906143791668e-18,-6.173592300696145e-17,5.049211071937811e-17,2.4805534198056696e-17,0.8257682028454421,3,0,7,1.0,all prespecified task x baseline x endpoint contrasts in this run
Capacitance,raw_gaussian_nll_task_space,mc_dropout_mlp,10,1.450622559971439,0.4295250143810929,2.4717201055617855,0.4513822303695673,0.010595284970562375,1,0,9,0.6463123832043048,all prespecified task x baseline x endpoint contrasts in this run
Capacitance,raw_gaussian_nll_task_space,equal_budget_deep_ensemble_mlp,10,0.7176539210460419,-0.857633555145907,2.292941397237991,0.6963651783784007,0.3296404552850573,1,0,9,1.0,all prespecified task x baseline x endpoint contrasts in this run
Capacitance,raw_gaussian_crps_task_space,mc_dropout_mlp,10,4.8248139763438417e-17,2.106871286005267e-17,7.542756666682416e-17,1.2014826975932033e-17,0.0030375960166207326,1,0,9,0.19136854904710615,all prespecified task x baseline x endpoint contrasts in this run
Capacitance,raw_gaussian_crps_task_space,equal_budget_deep_ensemble_mlp,10,4.2609250234563756e-17,-1.0048398663273022e-16,1.8570248710185772e-16,6.325521463340457e-17,0.5174837579103251,1,0,9,1.0,all prespecified task x baseline x endpoint contrasts in this run
Capacitance,raw_group_calibration_error_pp,mc_dropout_mlp,10,-9.5,-20.059322574500698,1.0593225745006958,4.6678112149552,0.07232235318848629,8,2,0,1.0,all prespecified task x baseline x endpoint contrasts in this run
Capacitance,raw_group_calibration_error_pp,equal_budget_deep_ensemble_mlp,10,0.625,-21.025694930786017,22.275694930786017,9.570818193730142,0.9493605553401578,5,1,4,1.0,all prespecified task x baseline x endpoint contrasts in this run
Capacitance,raw_mpiw_log,mc_dropout_mlp,10,9.397570710451804e-16,7.319360304670663e-16,1.1475781116232945e-15,9.186852443136495e-17,2.961788515609098e-06,0,0,10,0.0001954780420302005,all prespecified task x baseline x endpoint contrasts in this run
Capacitance,raw_mpiw_log,equal_budget_deep_ensemble_mlp,10,7.638224092577431e-16,-1.6025403954853137e-15,3.1301852140008e-15,1.0460647224952105e-15,0.4838481897299908,1,0,9,1.0,all prespecified task x baseline x endpoint contrasts in this run
Capacitance,raw_interval_score_95,mc_dropout_mlp,10,7.837871066008394e-16,1.264288676588875e-16,1.4411453455427913e-15,2.90589111027469e-16,0.024504411700176358,1,0,9,1.0,all prespecified task x baseline x endpoint contrasts in this run
Capacitance,raw_interval_score_95,equal_budget_deep_ensemble_mlp,10,6.094717572445963e-16,-1.8927309165968423e-15,3.1116744310860354e-15,1.1061135428567246e-15,0.595043311911082,1,0,9,1.0,all prespecified task x baseline x endpoint contrasts in this run
Capacitance,no_shrink_group_calibration_error_pp,mc_dropout_mlp,10,-0.25,-1.1510483103125961,0.6510483103125961,0.39831375340784575,0.545829013043266,1,9,0,1.0,all prespecified task x baseline x endpoint contrasts in this run
Capacitance,no_shrink_group_calibration_error_pp,equal_budget_deep_ensemble_mlp,10,-1.0,-2.8756816314541407,0.8756816314541407,0.82915619758885,0.25854720086632965,3,7,0,1.0,all prespecified task x baseline x endpoint contrasts in this run
Capacitance,no_shrink_conformal_mpiw_log,mc_dropout_mlp,10,7.821906900232953e-16,5.714251931157085e-16,9.929561869308822e-16,9.317013882752412e-17,1.502642740215778e-05,0,0,10,0.0009767177811402558,all prespecified task x baseline x endpoint contrasts in this run
Capacitance,no_shrink_conformal_mpiw_log,equal_budget_deep_ensemble_mlp,10,7.57800932172479e-16,-1.5744860306247425e-15,3.0900878949697007e-15,1.0310012943186797e-15,0.4810434944100822,1,0,9,1.0,all prespecified task x baseline x endpoint contrasts in this run
Capacitance,no_shrink_conformal_interval_score_95,mc_dropout_mlp,10,6.533228915018253e-16,1.0637521107226396e-16,1.2002705719313867e-15,2.41781468336624e-16,0.024309095425380563,1,0,9,1.0,all prespecified task x baseline x endpoint contrasts in this run
Capacitance,no_shrink_conformal_interval_score_95,equal_budget_deep_ensemble_mlp,10,6.2895177182731185e-16,-1.7893783250554366e-15,3.0472818687100607e-15,1.069037172417925e-15,0.5707747077965285,2,0,8,1.0,all prespecified task x baseline x endpoint contrasts in this run
