task,sample_id,structure_group_id,trap_assisted_recomb_A,ge_sio2_recomb_velocity,ge_si_recomb_velocity,simulation_temperature,ge_width_scale,optical_power_W,voltage_at_gain_threshold_v,_curve_id
APD_V_M10,apd_20260818_00024,apd_structure_20260818_00012,7.09453111925806e-10,3581.763247831391,650.9437036593333,309.12005136803003,1.0199217939365306,1e-07,-9.479427339402829,apd_structure_20260818_00012
APD_V_M10,apd_20260818_00026,apd_structure_20260818_00013,2.2172076349408947e-10,2024.1771420143232,831.8886705754712,301.7819706873389,1.0152735007462257,1e-07,-9.478302333947871,apd_structure_20260818_00013
APD_V_M10,apd_20260818_00027,apd_structure_20260818_00013,2.2172076349408947e-10,2024.1771420143232,831.8886705754712,301.7819706873389,1.0152735007462257,3e-07,-9.487500436846032,apd_structure_20260818_00013
APD_V_M10,apd_20260818_00029,apd_structure_20260818_00014,4.4497938336467535e-10,2439.724966426709,539.2656040870484,306.658667744268,0.9891828392651278,3e-07,-9.471353126600578,apd_structure_20260818_00014
APD_V_M10,apd_20260818_00028,apd_structure_20260818_00014,4.4497938336467535e-10,2439.724966426709,539.2656040870484,306.658667744268,0.9891828392651278,1e-07,-9.53918298728547,apd_structure_20260818_00014
APD_V_M10,apd_20260818_00030,apd_structure_20260818_00015,4.30355162393829e-10,3430.127360174612,905.1565071936052,311.7204536801859,0.996080748697065,1e-07,-9.501952116993822,apd_structure_20260818_00015
APD_V_M10,apd_20260818_00031,apd_structure_20260818_00015,4.30355162393829e-10,3430.127360174612,905.1565071936052,311.7204536801859,0.996080748697065,3e-07,-9.48188853214322,apd_structure_20260818_00015
APD_V_M10,apd_20260818_00032,apd_structure_20260818_00016,2.1462770445693914e-09,3757.127797542303,792.2989299436728,288.7395058123591,1.0018182632085997,1e-07,-9.5101785794787,apd_structure_20260818_00016
APD_V_M10,apd_20260818_00035,apd_structure_20260818_00017,5.508040082827e-10,3690.8621867634574,677.1794686765486,300.37786186504314,0.9806013458178282,3e-07,-9.509862455584782,apd_structure_20260818_00017
APD_V_M10,apd_20260818_00033,apd_structure_20260818_00016,2.1462770445693914e-09,3757.127797542303,792.2989299436728,288.7395058123591,1.0018182632085997,3e-07,-9.514226575325283,apd_structure_20260818_00016
