frequency_hz,bias_v,vac_mag_v,dc_current_a,terminal_charge_C,dIdV_S,dQdV_F,dynamic_current_mag_a,ac_current_real_a,ac_current_imag_a,ac_current_mag_a,admittance_mag_s,phase_deg
5623413251.903491,-1.0,0.001,0.0004907857469264556,-6.009654478538422e-16,-2.9276311913989594e-05,6.710112205909724e-16,2.370880424284706e-08,-2.9276311913989595e-08,2.370880424284706e-08,3.767240154159079e-08,3.7672401541590784e-05,140.99844654824378
6309573444.801943,-1.0,0.001,0.0004907857469264556,-6.009654478538422e-16,-2.9276311913989594e-05,6.710112205909724e-16,2.660171588990714e-08,-2.9276311913989595e-08,2.660171588990714e-08,3.955696812917475e-08,3.955696812917475e-05,137.7403650705064
7079457843.841373,-1.0,0.001,0.0004907857469264556,-6.009654478538422e-16,-2.9276311913989594e-05,6.710112205909724e-16,2.984761614457351e-08,-2.9276311913989595e-08,2.984761614457351e-08,4.180888217590868e-08,4.1808882175908675e-05,134.44637808092264
7943282347.242822,-1.0,0.001,0.0004907857469264556,-6.009654478538422e-16,-2.9276311913989594e-05,6.710112205909724e-16,3.348957613113275e-08,-2.9276311913989595e-08,3.348957613113276e-08,4.4482065472818885e-08,4.448206547281888e-05,131.1596871002114
8912509381.33744,-1.0,0.001,0.0004907857469264556,-6.009654478538422e-16,-2.9276311913989594e-05,6.710112205909724e-16,3.757592244588141e-08,-2.9276311913989595e-08,3.757592244588141e-08,4.763457134208414e-08,4.7634571342084136e-05,127.92302046410849
10000000000.0,-1.0,0.001,0.0004907857469264556,-6.009654478538422e-16,-2.9276311913989594e-05,6.710112205909724e-16,4.2160878421698374e-08,-2.9276311913989595e-08,4.216087842169838e-08,5.132876492352452e-08,5.132876492352452e-05,124.77592808654806
11220184543.019653,-1.0,0.001,0.0004907857469264556,-6.009654478538422e-16,-2.9276311913989594e-05,6.710112205909724e-16,4.73052836387271e-08,-2.9276311913989595e-08,4.73052836387271e-08,5.563175621374568e-08,5.563175621374568e-05,121.75255218503384
12589254117.941713,-1.0,0.001,0.0004907857469264556,-6.009654478538422e-16,-2.9276311913989594e-05,6.710112205909724e-16,5.307740122864063e-08,-2.9276311913989595e-08,5.307740122864063e-08,6.06161113935174e-08,6.06161113935174e-05,118.88014992510925
14125375446.227554,-1.0,0.001,0.0004907857469264556,-6.009654478538422e-16,-2.9276311913989594e-05,6.710112205909724e-16,5.955382368492434e-08,-2.9276311913989595e-08,5.9553823684924346e-08,6.636083449430293e-08,6.636083449430292e-05,116.1784618448446
15848931924.611109,-1.0,0.001,0.0004907857469264556,-6.009654478538422e-16,-2.9276311913989594e-05,6.710112205909724e-16,6.682048919873031e-08,-2.9276311913989595e-08,6.68204891987303e-08,7.295258882344643e-08,7.295258882344644e-05,113.65984852524394
17782794100.38923,-1.0,0.001,0.0004907857469264556,-6.009654478538422e-16,-2.9276311913989594e-05,6.710112205909724e-16,7.497382200646055e-08,-2.9276311913989595e-08,7.497382200646055e-08,8.048711962507813e-08,8.048711962507813e-05,111.33000493595142
