dark_voltage,trap_assisted_recomb_A,ge_sio2_recomb_velocity,ge_si_recomb_velocity,active_layer_length,simulation_temperature,dark_current,tcad_model_space,bnn_model_space,formula_model_space,formula_minus_bnn,bnn_minus_tcad,formula_minus_tcad,formula_is_finite
-2.4000000000000004,1.0727653122619132e-09,2512.3283017034155,474.34077412964,42.74916053103488,290.5746947786968,2.167583678068489e-07,-6.664024127890076,-6.6628785,-6.680741856903514,-0.0178633435673321,0.0011456145538941698,-0.016717729013437932,True
-2.0,9.431291378149591e-10,2617.847164727645,540.4486468445567,38.69622270488729,301.9657628923453,3.965485666004108e-07,-6.401703615622809,-6.4007716,-6.411189336756784,-0.0104177188673793,0.0009319977334047991,-0.0094857211339745,True
-0.4,9.454134520298419e-10,2570.8338282332857,490.849029568548,38.28868089781682,299.0569098093356,1.782961290279505e-07,-6.748858085652745,-6.750694,-6.754600677857259,-0.003906879792073603,-0.0018357124124408486,-0.005742592204514452,True
-1.8,1.1065063764088474e-09,2603.202340784687,488.6799605874269,40.68035124967265,296.73843693227377,2.817402136791697e-07,-6.550151160353546,-6.5486374,-6.554595732683784,-0.005958342547065065,0.0015137702168273037,-0.0044445723302377615,True
-2.4000000000000004,9.431291378149591e-10,2617.847164727645,540.4486468445567,38.69622270488729,301.9657628923453,4.193937191952088e-07,-6.3773780777793245,-6.3771305,-6.387400787530968,-0.010270279108116398,0.0002475693564729653,-0.010022709751643433,True
-1.6,9.973807555784963e-10,2483.6702561944007,499.2076886794748,40.248277237816566,302.09732544564235,3.661786457806366e-07,-6.4363069857853965,-6.439573,-6.434354270657916,0.005218540468792554,-0.0032658253413124783,0.0019527151274800758,True
-0.4,8.688108546297865e-10,2646.5653288453154,498.36187777461095,39.94029005251662,299.6218359156308,2.004236342677505e-07,-6.698051067101913,-6.700146,-6.731751166754942,-0.03160496848223726,-0.002095131170792186,-0.03370009965302945,True
-2.8000000000000003,9.32148229008894e-10,2545.124905053194,512.7371789301767,40.07870713980076,299.5411124372077,3.842952192488834e-07,-6.415335018259419,-6.416798,-6.4262203372412765,-0.009422222464665175,-0.0014630965171926746,-0.01088531898185785,True
-1.6,8.64757430416121e-10,2613.398572092139,483.2695161383806,39.73131063338137,294.42197627514213,2.4220351607099225e-07,-6.6158195564896385,-6.615224,-6.6414795924396755,-0.02625570785715592,0.0005956719071189553,-0.025660035950036963,True
-0.2,1.0692616090001279e-09,2445.881237248077,515.6238842072526,38.37558042728467,295.9516778251947,1.0094174136199077e-07,-6.995929207454717,-6.995528,-6.945109544682388,0.05041867644798348,0.000400986324345709,0.05081966277232919,True
-2.8000000000000003,1.0692616090001279e-09,2445.881237248077,515.6238842072526,38.37558042728467,295.9516778251947,2.7877124977243325e-07,-6.554752017909107,-6.5525503,-6.527637074339214,0.024913241517719342,0.0022017020521731823,0.027114943569892525,True
-1.8,1.0692616090001279e-09,2445.881237248077,515.6238842072526,38.37558042728467,295.9516778251947,2.427119821587152e-07,-6.6149087829718995,-6.6120167,-6.585701750259145,0.026314927597300475,0.0028921051154542354,0.02920703271275471,True
-1.8,9.454134520298419e-10,2570.8338282332857,490.849029568548,38.28868089781682,299.0569098093356,3.1395457278060454e-07,-6.503133187015822,-6.5029683,-6.501878809316449,0.0010895019933654382,0.00016487570600798307,0.0012543776993734213,True
-2.6,1.0109417900146311e-09,2546.474062846718,483.0790058826933,38.96317500489286,311.33012415162744,7.233239414186692e-07,-6.140667159880157,-6.1913424,-6.154985118930078,0.03635723489072262,-0.050675193940644014,-0.014317959049921392,True
-0.8,1.011801650795657e-09,2503.197375042157,521.464297637573,42.04226242943757,288.6545802497056,1.251193563219954e-07,-6.902675498511566,-6.903973,-6.9216386875954585,-0.01766558502587845,-0.0012976040580143788,-0.01896318908389283,True
-2.6,1.0692616090001279e-09,2445.881237248077,515.6238842072526,38.37558042728467,295.9516778251947,2.728309517994254e-07,-6.564106361899798,-6.5621276,-6.536463417713981,0.025664172465462265,0.001978771720354544,0.02764294418581681,True
-1.6,1.0727653122619132e-09,2512.3283017034155,474.34077412964,42.74916053103488,290.5746947786968,1.892303993507885e-07,-6.723009094098129,-6.723726,-6.736628461485849,-0.012902665739999541,-0.0007167016477209742,-0.013619367387720516,True
-2.2,1.011801650795657e-09,2503.197375042157,521.464297637573,42.04226242943757,288.6545802497056,1.848025312544594e-07,-6.7332920845103095,-6.7293863,-6.759819542749072,-0.030433213098192802,0.0039057548594305658,-0.026527458238762236,True
-1.2000000000000002,8.64757430416121e-10,2613.398572092139,483.2695161383806,39.73131063338137,294.42197627514213,2.1605497788113334e-07,-6.66543572314399,-6.6643744,-6.6875023549897765,-0.023128003488311677,0.0010613716425247333,-0.022066631845786944,True
-2.8000000000000003,1.011801650795657e-09,2503.197375042157,521.464297637573,42.04226242943757,288.6545802497056,1.9919970710236944e-07,-6.700711304486207,-6.696129,-6.729862962694689,-0.03373411747984534,0.004582459271363248,-0.02915165820848209,True
-2.2,8.64757430416121e-10,2613.398572092139,483.2695161383806,39.73131063338137,294.42197627514213,2.69278475300648e-07,-6.569798360408617,-6.568387,-6.596017287009702,-0.027630255454526242,0.0014113288534414181,-0.026218926601084824,True
-0.8,9.676899592457672e-10,2498.119875502734,535.4265253830317,42.346830624956574,300.5747457097431,2.745160334139825e-07,-6.5614322850212945,-6.5649037,-6.572985595213146,-0.00808185909864445,-0.003471451093207456,-0.011553310191851907,True
-1.0,8.688108546297865e-10,2646.5653288453154,498.36187777461095,39.94029005251662,299.6218359156308,2.809103602362617e-07,-6.551432243317227,-6.550697,-6.574447347754329,-0.02375049793133055,0.0007353934942289087,-0.02301510443710164,True
-2.8000000000000003,1.1037395013588123e-09,2531.0169366346463,492.6438219382251,36.10636397779454,299.96382807834965,3.421084518697467e-07,-6.465836196335104,-6.464719,-6.423215265747984,0.04150355291656638,0.00111737767055331,0.04262093058711969,True
-1.0,1.011801650795657e-09,2503.197375042157,521.464297637573,42.04226242943757,288.6545802497056,1.3606687649771224e-07,-6.8662475846061835,-6.8661256,-6.882313405809989,-0.01618782216130743,0.00012200095750181106,-0.01606582120380562,True
-2.6,8.688108546297865e-10,2646.5653288453154,498.36187777461095,39.94029005251662,299.6218359156308,3.9397202163539044e-07,-6.404534618988653,-6.4043202,-6.433320880559373,-0.02900064053862117,0.0002143789679012187,-0.02878626157071995,True
