nominal_structure_id,process_variant_id,process_variant_index,process_variant_role,dataset_role,split,operating_case_id,actual_core_width_nm,actual_coupling_gap_nm,actual_ring_radius_um,actual_core_thickness_nm,delta_material_index,bias_v,temperature_c,resonance_shift_pm,quality_factor,drop_extinction_ratio_db,through_insertion_loss_db
ring_cv_dev_20260912_0001,ring_cv_dev_20260912_0001|p00,0,nominal,development,validation,ring_cv_dev_20260912_0001|p00|t60|v-4,430.71790076585273,385.1806018582748,9.824529226471697,120.0,0.0,-4.0,60.0,2188.5418133581425,39756.86824509026,44.35221409696493,0.0001441429306623
ring_cv_dev_20260912_0001,ring_cv_dev_20260912_0001|p00,0,nominal,development,validation,ring_cv_dev_20260912_0001|p00|t60|v-10,430.71790076585273,385.1806018582748,9.824529226471697,120.0,0.0,-10.0,60.0,2214.050558978897,42781.14303246923,44.98913901084234,0.0001285789807724
ring_cv_dev_20260912_0001,ring_cv_dev_20260912_0001|p01,1,fabrication_realization,development,validation,ring_cv_dev_20260912_0001|p01|t20|v0,428.5268817175375,380.8914805075453,9.82431799122325,119.83272474537996,-8.436816882990744e-05,0.0,20.0,0.0,39131.02239897702,44.204479949319065,0.000143781012682
ring_cv_dev_20260912_0001,ring_cv_dev_20260912_0001|p01,1,fabrication_realization,development,validation,ring_cv_dev_20260912_0001|p01|t20|v-1,428.5268817175375,380.8914805075453,9.82431799122325,119.83272474537996,-8.436816882990744e-05,-1.0,20.0,12.566771640422305,40370.32823273016,44.47536189433664,0.000137280024175
ring_cv_dev_20260912_0001,ring_cv_dev_20260912_0001|p01,1,fabrication_realization,development,validation,ring_cv_dev_20260912_0001|p01|t20|v-2,428.5268817175375,380.8914805075453,9.82431799122325,119.83272474537996,-8.436816882990744e-05,-2.0,20.0,23.015620374508217,41325.043003217856,44.67843386702975,0.0001325376863397
ring_cv_dev_20260912_0001,ring_cv_dev_20260912_0001|p01,1,fabrication_realization,development,validation,ring_cv_dev_20260912_0001|p01|t20|v-4,428.5268817175375,380.8914805075453,9.82431799122325,119.83272474537996,-8.436816882990744e-05,-4.0,20.0,39.02561442964725,42853.4450691619,44.993961495948064,0.0001253856683871
ring_cv_dev_20260912_0001,ring_cv_dev_20260912_0001|p01,1,fabrication_realization,development,validation,ring_cv_dev_20260912_0001|p01|t20|v-10,428.5268817175375,380.8914805075453,9.82431799122325,119.83272474537996,-8.436816882990744e-05,-10.0,20.0,64.56184559283429,45979.28861324046,45.60561622212794,0.0001122399803156
ring_cv_dev_20260912_0001,ring_cv_dev_20260912_0001|p01,1,fabrication_realization,development,validation,ring_cv_dev_20260912_0001|p01|t40|v0,428.5268817175375,380.8914805075453,9.82431799122325,119.83272474537996,-8.436816882990744e-05,0.0,40.0,1074.953364683779,38252.65575892292,44.013299143029215,0.0001484928104696
ring_cv_dev_20260912_0001,ring_cv_dev_20260912_0001|p01,1,fabrication_realization,development,validation,ring_cv_dev_20260912_0001|p01|t40|v-1,428.5268817175375,380.8914805075453,9.82431799122325,119.83272474537996,-8.436816882990744e-05,-1.0,40.0,1087.5201363242013,39513.29393731601,44.2949913402233,0.0001415862057938
ring_cv_dev_20260912_0001,ring_cv_dev_20260912_0001|p01,1,fabrication_realization,development,validation,ring_cv_dev_20260912_0001|p01|t40|v-2,428.5268817175375,380.8914805075453,9.82431799122325,119.83272474537996,-8.436816882990744e-05,-2.0,40.0,1097.9689850582872,40486.54628632905,44.506391914681664,0.0001365481843312
