task,branch,role,drive,candidate_index,candidate_name,allowed
I_photo,trap_recombination,trap_loss,reverse,29,trap_A_over_temperature,True
I_photo,higher_order_symbolic_residual,additive_residual,all,0,one,True
I_photo,higher_order_symbolic_residual,additive_residual,all,1,light_voltage_z,True
I_photo,higher_order_symbolic_residual,additive_residual,all,2,light_voltage_z2,True
I_photo,higher_order_symbolic_residual,additive_residual,all,3,soft_reverse_light_voltage,True
I_photo,higher_order_symbolic_residual,additive_residual,all,4,tanh_reverse_light_voltage,True
I_photo,higher_order_symbolic_residual,additive_residual,all,5,reverse_saturation_light_voltage,True
I_photo,higher_order_symbolic_residual,additive_residual,all,6,forward_gate_light_voltage,True
I_photo,higher_order_symbolic_residual,additive_residual,all,7,reverse_gate_light_voltage,True
I_photo,higher_order_symbolic_residual,additive_residual,all,8,temperature_z,True
I_photo,higher_order_symbolic_residual,additive_residual,all,9,inverse_temperature,True
I_photo,higher_order_symbolic_residual,additive_residual,all,10,light_voltage_over_temperature,True
I_photo,higher_order_symbolic_residual,additive_residual,all,11,length_z,True
I_photo,higher_order_symbolic_residual,additive_residual,all,12,inverse_length,True
I_photo,higher_order_symbolic_residual,additive_residual,all,13,light_voltage_over_length,True
I_photo,higher_order_symbolic_residual,additive_residual,all,14,trap_A_z,True
I_photo,higher_order_symbolic_residual,additive_residual,all,15,ge_sio2_velocity_z,True
I_photo,higher_order_symbolic_residual,additive_residual,all,16,ge_si_velocity_z,True
I_photo,higher_order_symbolic_residual,additive_residual,all,17,ge_sio2_velocity_over_length,True
I_photo,higher_order_symbolic_residual,additive_residual,all,18,ge_si_velocity_over_length,True
I_photo,higher_order_symbolic_residual,additive_residual,all,19,reverse_drive_over_length,True
I_photo,higher_order_symbolic_residual,additive_residual,all,20,surface_recomb_sum_z,True
I_photo,higher_order_symbolic_residual,additive_residual,all,21,surface_recomb_over_length,True
I_photo,higher_order_symbolic_residual,additive_residual,all,22,reverse_drive_surface_recomb,True
I_photo,higher_order_symbolic_residual,additive_residual,all,23,reverse_drive_trap_A,True
I_photo,higher_order_symbolic_residual,additive_residual,all,24,collection_saturation_length,True
I_photo,higher_order_symbolic_residual,additive_residual,all,25,length_collection_saturation,True
I_photo,higher_order_symbolic_residual,additive_residual,all,26,thermal_surface_recomb_over_length,True
I_photo,higher_order_symbolic_residual,additive_residual,all,27,reverse_thermal_surface_recomb,True
I_photo,higher_order_symbolic_residual,additive_residual,all,28,trap_A_times_length,True
I_photo,higher_order_symbolic_residual,additive_residual,all,29,trap_A_over_temperature,True
Capacitance,symbolic_response,other,all,0,one,True
Capacitance,symbolic_response,other,all,1,bias_v_z,True
Capacitance,symbolic_response,other,all,2,bias_v_z2,True
Capacitance,symbolic_response,other,all,3,soft_reverse_bias_v,True
Capacitance,symbolic_response,other,all,4,tanh_reverse_bias_v,True
Capacitance,symbolic_response,other,all,5,reverse_saturation_bias_v,True
Capacitance,symbolic_response,other,all,6,forward_gate_bias_v,True
Capacitance,symbolic_response,other,all,7,reverse_gate_bias_v,True
Capacitance,symbolic_response,other,all,8,temperature_z,True
Capacitance,symbolic_response,other,all,9,inverse_temperature,True
Capacitance,symbolic_response,other,all,10,bias_v_over_temperature,True
Capacitance,symbolic_response,other,all,11,length_z,True
Capacitance,symbolic_response,other,all,12,inverse_length,True
Capacitance,symbolic_response,other,all,13,bias_v_over_length,True
Capacitance,symbolic_response,other,all,14,trap_A_z,True
Capacitance,symbolic_response,other,all,15,ge_sio2_velocity_z,True
Capacitance,symbolic_response,other,all,16,ge_si_velocity_z,True
Capacitance,symbolic_response,other,all,17,ge_sio2_velocity_over_length,True
Capacitance,symbolic_response,other,all,18,ge_si_velocity_over_length,True
Capacitance,symbolic_response,other,all,19,bias_curvature_z3,True
Capacitance,symbolic_response,other,all,20,bias_reverse_softplus2,True
Capacitance,symbolic_response,other,all,21,bias_forward_softplus2,True
Capacitance,symbolic_response,other,all,22,bias_depletion_knee,True
Capacitance,symbolic_response,other,all,23,bias_reverse_exponential,True
Capacitance,symbolic_response,other,all,24,bias_signed_log_curvature,True
Capacitance,symbolic_response,other,all,25,bias_curvature_times_log_frequency,True
Capacitance,symbolic_response,other,all,26,depletion_knee_times_log_frequency,True
Capacitance,higher_order_symbolic_residual,additive_residual,all,0,one,True
Capacitance,higher_order_symbolic_residual,additive_residual,all,1,bias_v_z,True
Capacitance,higher_order_symbolic_residual,additive_residual,all,2,bias_v_z2,True
Capacitance,higher_order_symbolic_residual,additive_residual,all,3,soft_reverse_bias_v,True
Capacitance,higher_order_symbolic_residual,additive_residual,all,4,tanh_reverse_bias_v,True
Capacitance,higher_order_symbolic_residual,additive_residual,all,5,reverse_saturation_bias_v,True
Capacitance,higher_order_symbolic_residual,additive_residual,all,6,forward_gate_bias_v,True
Capacitance,higher_order_symbolic_residual,additive_residual,all,7,reverse_gate_bias_v,True
Capacitance,higher_order_symbolic_residual,additive_residual,all,8,temperature_z,True
Capacitance,higher_order_symbolic_residual,additive_residual,all,9,inverse_temperature,True
Capacitance,higher_order_symbolic_residual,additive_residual,all,10,bias_v_over_temperature,True
Capacitance,higher_order_symbolic_residual,additive_residual,all,11,length_z,True
Capacitance,higher_order_symbolic_residual,additive_residual,all,12,inverse_length,True
Capacitance,higher_order_symbolic_residual,additive_residual,all,13,bias_v_over_length,True
Capacitance,higher_order_symbolic_residual,additive_residual,all,14,trap_A_z,True
Capacitance,higher_order_symbolic_residual,additive_residual,all,15,ge_sio2_velocity_z,True
Capacitance,higher_order_symbolic_residual,additive_residual,all,16,ge_si_velocity_z,True
Capacitance,higher_order_symbolic_residual,additive_residual,all,17,ge_sio2_velocity_over_length,True
Capacitance,higher_order_symbolic_residual,additive_residual,all,18,ge_si_velocity_over_length,True
Capacitance,higher_order_symbolic_residual,additive_residual,all,19,bias_curvature_z3,True
Capacitance,higher_order_symbolic_residual,additive_residual,all,20,bias_reverse_softplus2,True
Capacitance,higher_order_symbolic_residual,additive_residual,all,21,bias_forward_softplus2,True
Capacitance,higher_order_symbolic_residual,additive_residual,all,22,bias_depletion_knee,True
Capacitance,higher_order_symbolic_residual,additive_residual,all,23,bias_reverse_exponential,True
Capacitance,higher_order_symbolic_residual,additive_residual,all,24,bias_signed_log_curvature,True
Capacitance,higher_order_symbolic_residual,additive_residual,all,25,bias_curvature_times_log_frequency,True
Capacitance,higher_order_symbolic_residual,additive_residual,all,26,depletion_knee_times_log_frequency,True
AC_Response,y0,lowpass_condition_head,all,0,1,True
AC_Response,floor,lowpass_condition_head,all,0,1,True
AC_Response,logfc,lowpass_condition_head,all,0,1,True
AC_Response,y0,lowpass_condition_head,all,1,scaled(active_layer_length),True
AC_Response,floor,lowpass_condition_head,all,1,scaled(active_layer_length),True
AC_Response,logfc,lowpass_condition_head,all,1,scaled(active_layer_length),True
AC_Response,y0,lowpass_condition_head,all,2,scaled(simulation_temperature),True
AC_Response,floor,lowpass_condition_head,all,2,scaled(simulation_temperature),True
AC_Response,logfc,lowpass_condition_head,all,2,scaled(simulation_temperature),True
AC_Response,y0,lowpass_condition_head,all,3,scaled(active_layer_length)^2,True
AC_Response,floor,lowpass_condition_head,all,3,scaled(active_layer_length)^2,True
AC_Response,logfc,lowpass_condition_head,all,3,scaled(active_layer_length)^2,True
AC_Response,y0,lowpass_condition_head,all,4,scaled(simulation_temperature)^2,True
AC_Response,floor,lowpass_condition_head,all,4,scaled(simulation_temperature)^2,True
AC_Response,logfc,lowpass_condition_head,all,4,scaled(simulation_temperature)^2,True
AC_Response,y0,lowpass_condition_head,all,5,scaled(active_layer_length)*scaled(simulation_temperature),True
AC_Response,floor,lowpass_condition_head,all,5,scaled(active_layer_length)*scaled(simulation_temperature),True
AC_Response,logfc,lowpass_condition_head,all,5,scaled(active_layer_length)*scaled(simulation_temperature),True
