sample_id,terminal_charge_bias_v,trap_assisted_recomb_A,ge_sio2_recomb_velocity,ge_si_recomb_velocity,active_layer_length,simulation_temperature,compact_port_positive_charge_C,compact_port_negative_charge_C,compact_port_charge_conservation_residual_C,production_source_row,split
130,-1.0,1.0789603531824067e-09,2367.1936347140645,478.9001778930339,37.12870103512795,297.3410066095633,-5.560728468899502e-16,5.560728468899502e-16,0.0,130,train
130,-0.75,1.0789603531824067e-09,2367.1936347140645,478.9001778930339,37.12870103512795,297.3410066095633,-3.981238535756212e-16,3.981238535756212e-16,0.0,130,train
130,-0.5,1.0789603531824067e-09,2367.1936347140645,478.9001778930339,37.12870103512795,297.3410066095633,-2.528609190049269e-16,2.528609190049269e-16,0.0,130,train
130,-0.25,1.0789603531824067e-09,2367.1936347140645,478.9001778930339,37.12870103512795,297.3410066095633,-1.1996280866085615e-16,1.1996280866085615e-16,0.0,130,train
130,0.0,1.0789603531824067e-09,2367.1936347140645,478.9001778930339,37.12870103512795,297.3410066095633,0.0,-0.0,0.0,130,train
131,-3.0,1.006299553709699e-09,2596.53014928976,491.578961058072,40.01001805266426,305.28831051478386,-2.590627279089722e-15,2.590627279089722e-15,0.0,131,test
131,-2.75,1.006299553709699e-09,2596.53014928976,491.578961058072,40.01001805266426,305.28831051478386,-2.272381257662224e-15,2.272381257662224e-15,0.0,131,test
131,-2.5,1.006299553709699e-09,2596.53014928976,491.578961058072,40.01001805266426,305.28831051478386,-1.976726942815483e-15,1.976726942815483e-15,0.0,131,test
131,-2.25,1.006299553709699e-09,2596.53014928976,491.578961058072,40.01001805266426,305.28831051478386,-1.7022062916368349e-15,1.7022062916368349e-15,0.0,131,test
131,-2.0,1.006299553709699e-09,2596.53014928976,491.578961058072,40.01001805266426,305.28831051478386,-1.4474799614643968e-15,1.4474799614643968e-15,0.0,131,test
131,-1.75,1.006299553709699e-09,2596.53014928976,491.578961058072,40.01001805266426,305.28831051478386,-1.2113549041522196e-15,1.2113549041522196e-15,0.0,131,test
131,-1.5,1.006299553709699e-09,2596.53014928976,491.578961058072,40.01001805266426,305.28831051478386,-9.92494489573985e-16,9.92494489573985e-16,0.0,131,test
131,-1.25,1.006299553709699e-09,2596.53014928976,491.578961058072,40.01001805266426,305.28831051478386,-7.899092364922578e-16,7.899092364922578e-16,0.0,131,test
131,-1.0,1.006299553709699e-09,2596.53014928976,491.578961058072,40.01001805266426,305.28831051478386,-6.029602580100662e-16,6.029602580100662e-16,0.0,131,test
131,-0.75,1.006299553709699e-09,2596.53014928976,491.578961058072,40.01001805266426,305.28831051478386,-4.3097660161238867e-16,4.3097660161238867e-16,0.0,131,test
131,-0.5,1.006299553709699e-09,2596.53014928976,491.578961058072,40.01001805266426,305.28831051478386,-2.732696192098065e-16,2.732696192098065e-16,0.0,131,test
131,-0.25,1.006299553709699e-09,2596.53014928976,491.578961058072,40.01001805266426,305.28831051478386,-1.2936994886112267e-16,1.2936994886112267e-16,0.0,131,test
131,0.0,1.006299553709699e-09,2596.53014928976,491.578961058072,40.01001805266426,305.28831051478386,0.0,-0.0,0.0,131,test
132,-3.0,8.76292077179599e-10,2597.67569731618,502.646286170094,38.978559546027874,295.06946514256083,-2.4788933389065024e-15,2.4788933389065024e-15,0.0,132,train
132,-2.75,8.76292077179599e-10,2597.67569731618,502.646286170094,38.978559546027874,295.06946514256083,-2.17677090490526e-15,2.17677090490526e-15,0.0,132,train
132,-2.5,8.76292077179599e-10,2597.67569731618,502.646286170094,38.978559546027874,295.06946514256083,-1.895611399612053e-15,1.895611399612053e-15,0.0,132,train
132,-2.25,8.76292077179599e-10,2597.67569731618,502.646286170094,38.978559546027874,295.06946514256083,-1.6342678762651037e-15,1.6342678762651037e-15,0.0,132,train
132,-2.0,8.76292077179599e-10,2597.67569731618,502.646286170094,38.978559546027874,295.06946514256083,-1.391545152562012e-15,1.391545152562012e-15,0.0,132,train
132,-1.75,8.76292077179599e-10,2597.67569731618,502.646286170094,38.978559546027874,295.06946514256083,-1.1660828863484505e-15,1.1660828863484505e-15,0.0,132,train
132,-1.5,8.76292077179599e-10,2597.67569731618,502.646286170094,38.978559546027874,295.06946514256083,-9.565634064143936e-16,9.565634064143936e-16,0.0,132,train
132,-1.25,8.76292077179599e-10,2597.67569731618,502.646286170094,38.978559546027874,295.06946514256083,-7.621877416586745e-16,7.621877416586745e-16,0.0,132,train
132,-1.0,8.76292077179599e-10,2597.67569731618,502.646286170094,38.978559546027874,295.06946514256083,-5.82499869955945e-16,5.82499869955945e-16,0.0,132,train
132,-0.75,8.76292077179599e-10,2597.67569731618,502.646286170094,38.978559546027874,295.06946514256083,-4.169693163692748e-16,4.169693163692748e-16,0.0,132,train
132,-0.5,8.76292077179599e-10,2597.67569731618,502.646286170094,38.978559546027874,295.06946514256083,-2.64925712265152e-16,2.64925712265152e-16,0.0,132,train
132,-0.25,8.76292077179599e-10,2597.67569731618,502.646286170094,38.978559546027874,295.06946514256083,-1.2580485693537954e-16,1.2580485693537954e-16,0.0,132,train
132,0.0,8.76292077179599e-10,2597.67569731618,502.646286170094,38.978559546027874,295.06946514256083,0.0,-0.0,0.0,132,train
133,-3.0,1.016175641189933e-09,2547.6570837434488,498.1799092392847,42.56757336192149,293.18283111534566,-2.700023320695393e-15,2.700023320695393e-15,0.0,133,val
133,-2.75,1.016175641189933e-09,2547.6570837434488,498.1799092392847,42.56757336192149,293.18283111534566,-2.3712330272648618e-15,2.3712330272648618e-15,0.0,133,val
133,-2.5,1.016175641189933e-09,2547.6570837434488,498.1799092392847,42.56757336192149,293.18283111534566,-2.065184368755215e-15,2.065184368755215e-15,0.0,133,val
133,-2.25,1.016175641189933e-09,2547.6570837434488,498.1799092392847,42.56757336192149,293.18283111534566,-1.7804269506653842e-15,1.7804269506653842e-15,0.0,133,val
133,-2.0,1.016175641189933e-09,2547.6570837434488,498.1799092392847,42.56757336192149,293.18283111534566,-1.5156875014533049e-15,1.5156875014533049e-15,0.0,133,val
133,-1.75,1.016175641189933e-09,2547.6570837434488,498.1799092392847,42.56757336192149,293.18283111534566,-1.2697973201446482e-15,1.2697973201446482e-15,0.0,133,val
133,-1.5,1.016175641189933e-09,2547.6570837434488,498.1799092392847,42.56757336192149,293.18283111534566,-1.0414457012568542e-15,1.0414457012568542e-15,0.0,133,val
