parameter_degree,alpha,derivative_weight,q_validation_r2,q_validation_active_p95_relative_error,q_validation_rmse_C,dqdv_validation_median_relative_error,dqdv_validation_p95_relative_error,dqdv_validation_max_relative_error,q_accuracy_eligible,selected,selection_criterion
2,1e-05,1.0,0.9999855531411748,0.00501244657963087,3.0478020298778366e-18,0.07319268330715076,0.12750137713464785,0.13212035916705678,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
2,1e-05,3.0,0.999985201132523,0.005106308016958454,3.0847095647526223e-18,0.07470755366839844,0.12822619770498087,0.13211568983972238,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
2,1e-05,10.0,0.9999850643281867,0.005107566887910092,3.09893466865969e-18,0.07527020159084158,0.12849831115806076,0.13211301278156906,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
2,0.0001,0.0,0.9999895910023703,0.003385019175504206,2.5870480456835292e-18,0.08817956230822155,0.17129098666055684,0.17504355108992908,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
2,0.0001,0.003,0.9999892971871592,0.0034242326224699017,2.623306316938511e-18,0.0891624979467857,0.1680633572092611,0.16895657683988766,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
2,0.0001,0.01,0.9999885218121589,0.003500379513382114,2.7166688520611193e-18,0.08469966241800302,0.17302370939765516,0.17692100568839594,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
2,0.0001,0.03,0.9999873034548146,0.0036770022368987276,2.8572143380378998e-18,0.07128859123446805,0.1782130483032063,0.18612290503334078,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
2,0.0001,0.1,0.9999856073783203,0.0041783192569778225,3.0420755420430674e-18,0.050854886528878256,0.18158698053265757,0.19257623769237894,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
2,0.0001,0.3,0.9999840812552886,0.004778989249849406,3.1992961879537894e-18,0.05575325623706767,0.18286264421931953,0.19509506177498026,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
2,0.0001,1.0,0.9999830486318896,0.005046854513619283,3.301432460128268e-18,0.05840070997875143,0.183363563813913,0.19608776729685065,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
2,0.0001,3.0,0.9999826521275949,0.005090731908641328,3.339820677095546e-18,0.05930925430396562,0.18351348068903356,0.19638455109496245,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
