task,teacher_source,family,budget,terms,mean_teacher_rmse,mean_direct_rmse,mean_relative_reduction_teacher,pairs,mean_delta_teacher_minus_direct,median_delta_teacher_minus_direct,sample_sd_delta,corrected_standard_error,corrected_ci_low,corrected_ci_high,corrected_two_sided_p,teacher_wins,ties,teacher_losses,holm_p_global_72,holm_p_within_task_18,corrected_ci_favors_teacher,corrected_ci_favors_direct
I_dark,bkan_parameter_mean,polynomial,1,7,0.04786446624897043,0.047820671359224895,-0.0009098738098531914,10,4.37948897455305e-05,9.322866370047728e-06,9.429863937387323e-05,4.75106224394734e-05,-6.368160511492537e-05,0.00015127138460598638,0.3806837069753096,4,0,6,1.0,0.7653050240460864,False,False
I_dark,dkan,polynomial,1,7,0.047888657354823325,0.047820671359224895,-0.001412392915094218,10,6.798599559842063e-05,5.9890103293148284e-05,7.125663596026711e-05,3.5901335903614745e-05,-1.322846856996583e-05,0.00014920045976680709,0.09079934931823881,1,0,9,1.0,0.6355954452276716,False,False
I_dark,mlp_l,polynomial,1,7,0.04787492921003059,0.047820671359224895,-0.001129831240932881,10,5.425785080568971e-05,5.702623364904971e-05,4.449425957448151e-05,2.2417608370633766e-05,3.545697457255538e-06,0.00010497000415412387,0.038590190562308675,2,0,8,1.0,0.3087215244984694,False,True
I_dark,bkan_parameter_mean,polynomial,2,28,0.021239946981247853,0.02095526054435341,-0.013535224788838646,10,0.00028468643689444036,7.27189369659001e-05,0.00046580107511725525,0.00023468524210677286,-0.0002462084645404268,0.0008155813383293075,0.25598500782154854,0,0,10,1.0,0.7653050240460864,False,False
I_dark,dkan,polynomial,2,28,0.02153883217466378,0.02095526054435341,-0.02774448818062327,10,0.0005835716303103703,0.00042598182498509995,0.00043024006941804523,0.0002167684882006583,9.320724205831295e-05,0.0010739360185624276,0.024709655687944494,0,0,10,1.0,0.24709655687944493,False,True
I_dark,mlp_l,polynomial,2,28,0.021310718343197487,0.02095526054435341,-0.016970691217653926,10,0.00035545779884408045,0.0003433033379692009,0.00014388736099971259,7.249498113292623e-05,0.00019146275800731066,0.0005194528396808502,0.0008439082280886446,0,0,10,0.05063449368531868,0.011814715193241026,False,True
I_dark,bkan_parameter_mean,polynomial,3,84,0.011786123320665759,0.01103372725712215,-0.06800371397970399,10,0.0007523960635436101,0.00023149621326154935,0.001064259980173097,0.0005362076741634814,-0.00046058996731267524,0.0019653820943998953,0.19410889406323512,0,0,10,1.0,0.7653050240460864,False,False
I_dark,dkan,polynomial,3,84,0.01417474943163149,0.01103372725712215,-0.2844834831477553,10,0.0031410221745093404,0.0028033311327879005,0.0013382379168387446,0.0006742463817429043,0.0016157708925588566,0.004666273456459824,0.0011876297300477524,0,0,10,0.0700701540728174,0.015439186490620782,False,True
I_dark,mlp_l,polynomial,3,84,0.01581318501700649,0.01103372725712215,-0.433295911286595,10,0.00477945775988434,0.00477586513609715,0.0007695736691647815,0.00038773543582197665,0.003902339266468972,0.005656576253299708,6.12357346590793e-07,0,0,10,4.0415584874992335e-05,1.1022432238634274e-05,False,True
I_photo,bkan_parameter_mean,additive_spline,4,31,0.0049874630118044395,0.005082217216504431,0.01621084736004343,10,-9.475420469998996e-05,-7.397822276300004e-05,0.0002827576422922216,0.0001424621996035236,-0.0004170260899610884,0.00022751768056110852,0.522651780742387,6,0,4,1.0,1.0,False,False
I_photo,dkan,additive_spline,4,31,0.0050200367402272695,0.005082217216504431,0.011511925345677874,10,-6.218047627715994e-05,1.6625924907999728e-05,0.00019341445543076132,9.744829010601043e-05,-0.00028262382374290887,0.00015826287118858898,0.539311318658545,5,0,5,1.0,1.0,False,False
I_photo,mlp_l,additive_spline,4,31,0.00472303555305393,0.005082217216504431,0.05411125627455301,10,-0.00035918166345049997,-0.00017267350692540002,0.0006191767913270164,0.0003119607552277474,-0.0010648859204008862,0.00034652259349988627,0.2792490849774177,7,0,3,1.0,1.0,False,False
