task,source,source_kind,family,budget,terms,splits,mean_rmse,sd_rmse,median_rmse,mean_r2,min_r2,mean_formula_chars,mean_latency_per_point_s,min_test_finite_rate,min_dense_finite_rate,min_derivative_finite_rate,max_json_replay_error,pareto_mean_rmse_terms
Capacitance,tcad_direct,direct_tcad,additive_spline,4,36,10,3.078039769700244e-16,3.25811664770037e-17,2.9808362791293904e-16,0.9913577086718476,0.9866038808313086,8644.2,1.528256667855506e-07,1.0,1.0,1.0,4.4176210692376655e-29,True
Capacitance,tcad_direct,direct_tcad,additive_spline,6,50,10,2.7262536833591454e-16,3.668918404420951e-17,2.632630112137559e-16,0.9931882005520729,0.98815154782226,10203.9,1.5403933318642278e-07,1.0,1.0,1.0,3.786532345060857e-29,True
Capacitance,tcad_direct,direct_tcad,additive_spline,8,64,10,2.671487686042007e-16,3.771698777706504e-17,2.577992157321377e-16,0.993450759579353,0.9883143086189552,11756.4,1.709899998968467e-07,1.0,1.0,1.0,3.786532345060857e-29,True
Capacitance,tcad_direct,direct_tcad,polynomial,1,8,10,1.999978002279375e-15,2.1417579826920654e-17,1.992616744224669e-15,0.6367157263639776,0.5955409744132911,932.4,1.9661700042585534e-07,1.0,1.0,1.0,6.310887241768096e-30,True
Capacitance,tcad_direct,direct_tcad,polynomial,2,36,10,1.094147649465141e-15,1.2671843576510872e-17,1.0894792293724399e-15,0.8912745435368834,0.8794302428440892,2021.1,1.2840783330223835e-06,1.0,1.0,1.0,1.262177448353619e-29,False
Capacitance,tcad_direct,direct_tcad,polynomial,3,120,10,5.247387143866635e-16,7.759136092915128e-18,5.220472804712438e-16,0.9749943776525916,0.9725937638563888,5282.5,4.703337666772616e-06,1.0,1.0,1.0,1.8932661725304286e-29,False
I_dark,bkan_parameter_mean,teacher_distillation,additive_spline,4,31,10,0.00818977888798894,0.006909714514387858,0.0055583626034869,0.9973488563414297,0.9842927902000635,7114.0,1.2936366663780064e-07,1.0,1.0,1.0,1.7763568394002505e-15,False
I_dark,bkan_parameter_mean,teacher_distillation,additive_spline,6,43,10,0.00702749269708024,0.007486378161882636,0.0040737548318055,0.9977191408931633,0.9838816605222842,8369.8,1.3442733363869292e-07,1.0,1.0,1.0,2.664535259100376e-15,False
I_dark,bkan_parameter_mean,teacher_distillation,additive_spline,8,55,10,0.0070387237136453505,0.007558270550566988,0.0041851615117633,0.9976975211027546,0.983572850543996,9557.1,1.4500633308974405e-07,1.0,1.0,1.0,1.7763568394002505e-15,False
I_dark,bkan_parameter_mean,teacher_distillation,polynomial,1,7,10,0.04786446624897043,0.000444121348379934,0.04792528068159665,0.9264980517738135,0.9093377243632657,816.3,2.1104666656659297e-07,1.0,1.0,1.0,8.881784197001252e-16,False
I_dark,bkan_parameter_mean,teacher_distillation,polynomial,2,28,10,0.02123994698124785,0.0005550277458657421,0.02110427507055295,0.9855529174175739,0.9824433971101828,1587.2,1.2627473333850502e-06,1.0,1.0,1.0,8.881784197001252e-16,False
I_dark,bkan_parameter_mean,teacher_distillation,polynomial,3,84,10,0.01178612332066576,0.0011108018585493135,0.0113691047569816,0.9955613820904858,0.994660636906941,3649.3,3.963399333297276e-06,1.0,1.0,1.0,8.881784197001252e-16,False
I_dark,dkan,teacher_distillation,additive_spline,4,31,10,0.00871380146833514,0.007490797200085707,0.00628481581478175,0.9969525845838085,0.981604925200786,7069.4,1.352866665304949e-07,1.0,1.0,1.0,2.664535259100376e-15,False
I_dark,dkan,teacher_distillation,additive_spline,6,43,10,0.00820108932411312,0.0076389207424270725,0.00567688075588555,0.9971597622108496,0.9821092843262657,8285.4,1.3960999979948005e-07,1.0,1.0,1.0,2.664535259100376e-15,False
I_dark,dkan,teacher_distillation,additive_spline,8,55,10,0.00895905509455258,0.007826083968612766,0.006597180644870949,0.9967476146449169,0.9805250465669408,9433.5,1.3872666691895573e-07,1.0,1.0,1.0,1.7763568394002505e-15,False
I_dark,dkan,teacher_distillation,polynomial,1,7,10,0.047888657354823325,0.00045907753103735266,0.04789154873384595,0.9264105830504977,0.9092420970171204,816.3,1.6310833316917222e-07,1.0,1.0,1.0,8.881784197001252e-16,False
I_dark,dkan,teacher_distillation,polynomial,2,28,10,0.02153883217466378,0.000574424833862828,0.0213913815159577,0.9851058156622624,0.9817236013009424,1583.2,9.316133331352223e-07,1.0,1.0,1.0,8.881784197001252e-16,False
I_dark,dkan,teacher_distillation,polynomial,3,84,10,0.01417474943163149,0.0013830266285821554,0.01400277302260515,0.9936272828176204,0.9919680790995504,3632.5,3.0363973332957054e-06,1.0,1.0,1.0,8.881784197001252e-16,False
I_dark,mlp_l,teacher_distillation,additive_spline,4,31,10,0.01787614753458801,0.0049387641908637675,0.01653318435922195,0.989891903969274,0.9793696985786016,7145.3,1.3447366693678003e-07,1.0,1.0,1.0,2.664535259100376e-15,False
I_dark,mlp_l,teacher_distillation,additive_spline,6,43,10,0.01790152275307569,0.004896623542572236,0.01655717665562085,0.9898661125350354,0.9794794002460816,8366.4,1.4083566687380272e-07,1.0,1.0,1.0,1.7763568394002505e-15,False
I_dark,mlp_l,teacher_distillation,additive_spline,8,55,10,0.017908302053240628,0.004761292365262092,0.016574588115145297,0.9898710296510769,0.979948298867074,9576.3,1.3975333344812194e-07,1.0,1.0,1.0,1.7763568394002505e-15,False
I_dark,mlp_l,teacher_distillation,polynomial,1,7,10,0.04787492921003059,0.00042966786221774187,0.0479212695226193,0.9264545510084456,0.909109678358088,815.9,1.5517833371025823e-07,1.0,1.0,1.0,8.881784197001252e-16,False
I_dark,mlp_l,teacher_distillation,polynomial,2,28,10,0.02131071834319749,0.00023613647228277096,0.021263450136742502,0.9854413871841107,0.9819752911025242,1585.5,9.381486669493218e-07,1.0,1.0,1.0,8.881784197001252e-16,False
I_dark,mlp_l,teacher_distillation,polynomial,3,84,10,0.01581318501700649,0.0007985384735879962,0.0158046199481949,0.9919499275211467,0.9882724091165798,3648.5,3.001270333576637e-06,1.0,1.0,1.0,8.881784197001252e-16,False
I_dark,tcad_direct,direct_tcad,additive_spline,4,31,10,0.007645568471426089,0.0068150863879114934,0.0054456671473016496,0.9976045042984681,0.9850163899964802,7141.4,1.328656665282324e-07,1.0,1.0,1.0,1.7763568394002505e-15,True
I_dark,tcad_direct,direct_tcad,additive_spline,6,43,10,0.0062385383829215305,0.007207721157196921,0.0039716196930358,0.9980696175330339,0.985359356092446,8378.3,1.336660001349325e-07,1.0,1.0,1.0,2.664535259100376e-15,True
I_dark,tcad_direct,direct_tcad,additive_spline,8,55,10,0.006244222542575549,0.007144317261661127,0.00401025770752875,0.9980825558228466,0.985558058493893,9587.4,1.3422133362231157e-07,1.0,1.0,1.0,1.7763568394002505e-15,False
I_dark,tcad_direct,direct_tcad,polynomial,1,7,10,0.047820671359224895,0.00039748826494845764,0.04785842450781095,0.9266137702542065,0.9093349739720916,816.5,1.5109366659695904e-07,1.0,1.0,1.0,8.881784197001252e-16,True
I_dark,tcad_direct,direct_tcad,polynomial,2,28,10,0.02095526054435341,0.000203127822098564,0.0209653996909726,0.985902944382102,0.9825432109805518,1589.2,9.444200001113736e-07,1.0,1.0,1.0,8.881784197001252e-16,True
I_dark,tcad_direct,direct_tcad,polynomial,3,84,10,0.01103372725712215,0.0002098191115420813,0.010994020254414899,0.9960913269059996,0.9951267729005272,3644.9,3.038662999946003e-06,1.0,1.0,1.0,8.881784197001252e-16,False
I_photo,bkan_parameter_mean,teacher_distillation,additive_spline,4,31,10,0.0049874630118044395,0.0010274631198444238,0.0049218077886468495,0.9504774630180475,0.9210450944583009,7143.3,1.309153330900396e-07,1.0,1.0,1.0,8.881784197001252e-16,False
I_photo,bkan_parameter_mean,teacher_distillation,additive_spline,6,43,10,0.00511660356683335,0.0009660188547594287,0.00527645607081685,0.9481706025036136,0.9192253454155878,8389.5,1.3504066698563597e-07,1.0,1.0,1.0,8.881784197001252e-16,False
I_photo,bkan_parameter_mean,teacher_distillation,additive_spline,8,55,10,0.00503251424397682,0.0010697252467741975,0.0050206167865787,0.9494237008077914,0.9220167313213972,9593.3,1.4266899961512537e-07,1.0,1.0,1.0,8.881784197001252e-16,False
I_photo,bkan_parameter_mean,teacher_distillation,polynomial,1,7,10,0.00765288069549309,0.0004383190666319572,0.00768721911269945,0.8868868720021839,0.8699487550729712,826.1,2.2287966664104414e-07,1.0,1.0,1.0,4.440892098500626e-16,False
I_photo,bkan_parameter_mean,teacher_distillation,polynomial,2,28,10,0.00516773773530438,0.0007699369040990178,0.0050297672235807,0.9477187340392547,0.922618265727718,1600.1,1.264974000126434e-06,1.0,1.0,1.0,4.440892098500626e-16,False
I_photo,bkan_parameter_mean,teacher_distillation,polynomial,3,84,10,0.006564133744888579,0.0020588834474267736,0.0065878633149989,0.9101884753154778,0.8003429681395686,3659.9,3.866898666795654e-06,1.0,1.0,1.0,4.440892098500626e-16,False
I_photo,dkan,teacher_distillation,additive_spline,4,31,10,0.0050200367402272695,0.0010486740689198846,0.0049996139624329,0.9497299026314154,0.9248067420124196,7135.6,1.3111266695583861e-07,1.0,1.0,1.0,8.881784197001252e-16,False
I_photo,dkan,teacher_distillation,additive_spline,6,43,10,0.00519000228181804,0.0009229542016498626,0.005407195148200599,0.9467896631515454,0.9231061655260184,8365.2,1.4310166705399752e-07,1.0,1.0,1.0,8.881784197001252e-16,False
