task,seed,teacher,teacher_to_tcad_rmse,teacher_to_tcad_r2,teacher_to_tcad_p95_abs_error,teacher_to_tcad_max_abs_error,checkpoint,checkpoint_sha256,scaler_mean_max_relative_delta,parameter_count,train_time_s,frozen_test_prediction,replay_status,replay_max_abs_error,replay_rmse,replay_tolerance,test_rows,checkpoint_output_scale_applied,frozen_scale_applied
I_photo,48,dkan,0.0065003915707127,0.9170914832469342,0.0119670474515599,0.0160732152526312,,,,1310,2.75241840002127,<REPO_ROOT>/artifacts\results\net_photocurrent_retrain\matched_grouped_comparison\predictions\seed_48\I_photo\dkan\test_predictions.csv,pass,2.384185795456517e-07,7.146345857584393e-08,3.366043567657471e-05,256,,
I_photo,48,mlp_l,0.0043615040399145,0.9626756144560892,0.0074003138181473,0.0102539685848652,,,,2561,0.3298521999968216,<REPO_ROOT>/artifacts\results\net_photocurrent_retrain\matched_grouped_comparison\predictions\seed_48\I_photo\mlp_l\test_predictions.csv,pass,4.440892098500626e-16,1.642041997679149e-16,3.359453678131104e-05,256,,
AC_Response,48,bkan_parameter_mean,0.0522021069303874,0.999543222577839,0.11887257548698,0.382787620710828,<REPO_ROOT>/artifacts\results\uq_repeated_grouped\seed_48\AC-response-bayes-results\model_checkpoint.pt,48d990eb954c4e6e1a1b897b9dd81e8638c80c01204c30a41d6cc89aa1708aac,5.812431418669051e-09,809,,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_48\AC_Response\bkan\test_predictions.csv,reference_difference_only,0.0112004554626468,0.0026641673209362,6.978730700000001e-05,448,,
AC_Response,48,dkan,0.1505913898528141,0.9961987288594236,0.3024200305707055,0.8017565011978149,,,,809,2.4201843999908306,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_48\AC_Response\dkan\test_predictions.csv,pass,1.1920928954176069e-06,3.336757543600694e-07,6.855692386627198e-05,448,,
AC_Response,48,mlp_l,0.1764364948271674,0.9947819839818596,0.3518804383318624,0.5136499976770992,,,,2369,0.352481700014323,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_48\AC_Response\mlp_l\test_predictions.csv,pass,8.881784197001252e-16,1.131225601800791e-16,6.921320915222168e-05,448,,
Capacitance,48,bkan_parameter_mean,5.024084463610087e-17,0.9997758489226348,9.4213214727727e-17,7.555007013230274e-16,<REPO_ROOT>/artifacts\results\uq_repeated_grouped_capacitance\seed_48\Capacitance-bayes-results\model_checkpoint.pt,37ab620ce31d00b04b25b8443d670fcddda1d206b9d2185c795c99ac123448d9,6.315030817641483e-09,1477,,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_48\Capacitance\bkan\test_predictions.csv,reference_difference_only,2.3469394980077e-17,2.5177717636773853e-18,4.4091602000000015e-19,6400,1000.0,1000.0
Capacitance,48,dkan,2.6585151302886837e-16,0.9937236776717864,3.014666632450466e-16,3.3859502043125405e-15,,,,1477,3.124302899988834,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_48\Capacitance\dkan\test_predictions.csv,pass,3.970466940254533e-21,1.2641640632188094e-21,4.0978712834334207e-19,6400,,1000.0
Capacitance,48,mlp_l,4.749261553718158e-16,0.979970083335852,1.0952983985573098e-15,2.5635098309399733e-15,,,,2625,3.232417599996552,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_48\Capacitance\mlp_l\test_predictions.csv,pass,4.129285611553827e-21,1.2401098804613386e-21,4.246235721589913e-19,6400,,1000.0
I_dark,49,bkan_parameter_mean,0.0026780438788435,0.999752602763634,0.0055952962741947,0.0089715047649558,<REPO_ROOT>/artifacts\results\uq_repeated_grouped\seed_49\I-dark-bayes-results\model_checkpoint.pt,ff298bfb56b90a60d57a6eea8a21399a63d0eb1304a03c99871630d4717d0a66,4.376592730427117e-09,1310,,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_49\I_dark\bkan\test_predictions.csv,reference_difference_only,0.0027189081848142,0.0006515823966832,7.0747046e-05,240,,
I_dark,49,dkan,0.0161549967281321,0.9909972909322884,0.025528804832218,0.1020294780816577,,,,1310,2.636309599969536,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_49\I_dark\dkan\test_predictions.csv,pass,4.76837158203125e-07,1.8467823723824688e-07,7.023209095001221e-05,240,,
I_dark,49,mlp_l,0.0163597102587283,0.9907676835433202,0.0403112652809469,0.0520406900206751,,,,2561,0.5103767000255175,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_49\I_dark\mlp_l\test_predictions.csv,pass,8.881784197001252e-16,1.6215845185301646e-16,7.028706073760987e-05,240,,
I_photo,49,bkan_parameter_mean,0.004390224165176,0.9625265420840472,0.0087432606434505,0.010854714179084,<REPO_ROOT>/artifacts\results\net_photocurrent_retrain\uq_repeated_grouped\seed_49\I-photo-bayes-results\model_checkpoint.pt,71750dafcd439be6c6aa9ff271c8e61e39e8588712fd825377d0eebda0890d97,2.6469049997248193e-09,1310,,<REPO_ROOT>/artifacts\results\net_photocurrent_retrain\matched_grouped_comparison\predictions\seed_49\I_photo\bkan\test_predictions.csv,reference_difference_only,0.0011957622375486,0.0003150975673261,3.363341e-05,256,,
I_photo,49,dkan,0.004398233245721,0.9623896918035312,0.0123663845262975,0.0141420940009795,,,,1310,3.0389716000063345,<REPO_ROOT>/artifacts\results\net_photocurrent_retrain\matched_grouped_comparison\predictions\seed_49\I_photo\dkan\test_predictions.csv,pass,2.384185795456517e-07,9.064022495418145e-08,3.3617727756500245e-05,256,,
I_photo,49,mlp_l,0.0037588857390568,0.9725293695177264,0.0080364656914251,0.0132728175264178,,,,2561,0.3483480999711901,<REPO_ROOT>/artifacts\results\net_photocurrent_retrain\matched_grouped_comparison\predictions\seed_49\I_photo\mlp_l\test_predictions.csv,pass,4.440892098500626e-16,1.882474726967805e-16,3.360595226287842e-05,256,,
AC_Response,49,bkan_parameter_mean,0.0971994336828946,0.9984278929805672,0.1888102602084836,0.7338322353220752,<REPO_ROOT>/artifacts\results\uq_repeated_grouped\seed_49\AC-response-bayes-results\model_checkpoint.pt,76bc36d776de93a9657a329e616b8050ff118d9eb19fadb392f04bc8f7176983,5.812431418669051e-09,809,,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_49\AC_Response\bkan\test_predictions.csv,reference_difference_only,0.0257834016113278,0.0041237890924659,6.822834000000001e-05,448,,
AC_Response,49,dkan,0.1422593160922837,0.9966324343522616,0.3068377349402769,0.7529984321751684,,,,809,2.75782270001946,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_49\AC_Response\dkan\test_predictions.csv,mismatch_allowed,7.033348083496094e-05,1.2471101949010025e-05,6.880396842956543e-05,448,,
AC_Response,49,mlp_l,0.17676422997135,0.9948007175740204,0.3469843370824325,0.6929074134984106,,,,2369,0.3829732000012882,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_49\AC_Response\mlp_l\test_predictions.csv,pass,8.881784197001252e-16,1.0332546567104747e-16,7.012506484985352e-05,448,,
Capacitance,49,bkan_parameter_mean,4.8374560440402526e-17,0.9997944273247736,1.0077238902358072e-16,6.439010031034948e-16,<REPO_ROOT>/artifacts\results\uq_repeated_grouped_capacitance\seed_49\Capacitance-bayes-results\model_checkpoint.pt,81411f8cc9e8240d5d4bda09e69f62699a59ddb0b59ca03525fc3b61925c3ba2,7.211503456194531e-09,1477,,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_49\Capacitance\bkan\test_predictions.csv,reference_difference_only,3.911714025849104e-17,3.5658831789997896e-18,4.1544040000000015e-19,6400,1000.0,1000.0
Capacitance,49,dkan,1.76747219108817e-16,0.9972556689272462,3.6221388438883323e-16,9.59924326818337e-16,,,,1477,3.087926999956835,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_49\Capacitance\dkan\test_predictions.csv,pass,4.499862532288471e-21,1.2693578945574189e-21,4.096566323299058e-19,6400,,1000.0
Capacitance,49,mlp_l,4.47820988818143e-16,0.982382664980009,1.0435501239095512e-15,1.98827279917296e-15,,,,2625,3.266244399943389,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_49\Capacitance\mlp_l\test_predictions.csv,pass,4.6057416570061446e-21,1.2788098197776017e-21,4.064731450244341e-19,6400,,1000.0
I_dark,50,bkan_parameter_mean,0.003582988695222,0.9995303742979352,0.0071956075609517,0.0133564189945589,<REPO_ROOT>/artifacts\results\uq_repeated_grouped\seed_50\I-dark-bayes-results\model_checkpoint.pt,1ecdeda6d36110fe01cd3ff2f701613133c105310ef0213e56bacf7af5e5c983,6.596777704305831e-09,1310,,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_50\I_dark\bkan\test_predictions.csv,reference_difference_only,0.0018935356323241,0.000484495108048,7.170152e-05,240,,
I_dark,50,dkan,0.0201724335261932,0.9851140153258938,0.0362119688160968,0.1229268503046094,,,,1310,2.671943099994678,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_50\I_dark\dkan\test_predictions.csv,pass,9.5367431640625e-07,3.522898397134292e-07,7.036558151245118e-05,240,,
