bias_v,log_frequency_ghz,trap_assisted_recomb_A,ge_sio2_recomb_velocity,ge_si_recomb_velocity,active_layer_length,simulation_temperature,model_prediction,exported_formula_prediction,formula_minus_model
-2.6,0.0,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.692684486660796e-17,2.6926843862051746e-17,-1.0045562151220776e-24
-2.6,0.09999999999999964,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.69083309101378e-17,2.6908330988081013e-17,7.79432137695995e-26
-2.6,0.1999999999999993,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.6889818608028863e-17,2.688981811158756e-17,-4.9644130415289315e-25
-2.6,0.3000000000000007,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.6871306305919926e-17,2.6871305235964008e-17,-1.069955918038105e-24
-2.6,0.4000000000000003,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.685279069508854e-17,2.6852792357817736e-17,1.6627291965806795e-24
-2.6,0.5,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.6834280047340827e-17,2.6834279488022536e-17,-5.59318291523782e-25
-2.6,0.5999999999999996,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.6815766090870666e-17,2.6815766609876264e-17,5.190055979889472e-25
-2.6,0.6999999999999993,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.6797252134400504e-17,2.6797253731729997e-17,1.5973294936646521e-24
-2.6,0.8000000000000007,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.6778741486652792e-17,2.6778740848016342e-17,-6.386364497918388e-25
-2.6,0.9000000000000004,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.676022753018263e-17,2.6760227975437453e-17,4.452548224779997e-25
-2.6,1.0,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.6741715228073693e-17,2.674171511399332e-17,-1.1408037408846216e-25
-2.6,1.0999999999999996,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.6723202925964757e-17,2.672320223027967e-17,-6.956850862759219e-25
-2.6,1.1999999999999993,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.670469062385582e-17,2.670468934656602e-17,-1.2772897984633817e-24
-2.6,1.3000000000000005,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.6686176667385658e-17,2.668617649625665e-17,-1.7112900749105734e-25
-2.6,1.3010299956639813,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.6685984761483546e-17,2.668598580237844e-17,1.0408948955058572e-24
-2.4,-1.0,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.7289126813849036e-17,2.7289126740265034e-17,-7.358400230371521e-26
-2.4,-0.9000000000000005,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.726912062355383e-17,2.7269121565050084e-17,9.414962551620083e-25
-2.4,-0.8000000000000007,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.7249116087619846e-17,2.724911638983513e-17,3.0221528444018848e-25
-2.4,-0.6999999999999995,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.722910989732464e-17,2.722911119235066e-17,1.2950260201219382e-24
-2.4,-0.5999999999999998,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.720910370702943e-17,2.7209106028270468e-17,2.3212410369389046e-24
-2.4,-0.5000000000000001,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.7189100825456674e-17,2.7189100853055512e-17,2.7598838029541526e-26
-2.4,-0.40000000000000047,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.7169094635161466e-17,2.7169095677840562e-17,1.042679095495265e-24
-2.4,-0.3000000000000007,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.714908844486626e-17,2.7149090513760365e-17,2.0688941061492556e-24
-2.4,-0.19999999999999923,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.71290855632935e-17,2.7129085349680174e-17,-2.136133272458887e-25
-2.4,-0.09999999999999964,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.7109079372998294e-17,2.7109080174465224e-17,8.014669302198348e-25
-2.4,0.0,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.7089073182703086e-17,2.708907499925027e-17,1.8165471846040703e-24
-2.4,0.09999999999999964,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.7069068646769104e-17,2.7069069829602697e-17,1.182833593557872e-24
-2.4,0.1999999999999993,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.7049065765196347e-17,2.704906465865027e-17,-1.106546075568815e-24
-2.4,0.3000000000000007,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.702905626617869e-17,2.7029059487523864e-17,3.2213451749212633e-24
-2.4,0.4000000000000003,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.7009053384605932e-17,2.70090543150926e-17,9.304866689311989e-25
-2.4,0.5,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.698904884867195e-17,2.6989049145445027e-17,2.9677307788500053e-25
-2.4,0.5999999999999996,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.6969042658376742e-17,2.6969043975797454e-17,1.3174207119448576e-24
-2.4,0.6999999999999993,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.6949036468081534e-17,2.6949038783880364e-17,2.3157988303837166e-24
-2.4,0.8000000000000007,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.6929033586508777e-17,2.692903363093493e-17,4.442615325832737e-26
-2.4,0.9000000000000004,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.690902739621357e-17,2.690902845571998e-17,1.0595064107240508e-24
-2.4,1.0,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.6889021205918362e-17,2.6889023291639783e-17,2.0857214213780414e-24
-2.4,1.0999999999999996,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.6869018324345604e-17,2.6869018105290074e-17,-2.1905553071958873e-25
-2.4,1.1999999999999993,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.6849012134050397e-17,2.6849012952344636e-17,8.182942392856448e-25
-2.4,1.3000000000000005,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.682900594375519e-17,2.6829007799399202e-17,1.8556440123723662e-24
-2.4,1.3010299956639813,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.6828800802963276e-17,2.682880171728442e-17,9.143211432906473e-25
-2.2,-1.0,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.7533335346093066e-17,2.7533336069335437e-17,7.232423704409834e-25
-2.2,-0.9000000000000005,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.7511583804705372e-17,2.7511582358416263e-17,-1.4462891095404477e-24
-2.2,-0.8000000000000007,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.7489828954595227e-17,2.748982864749709e-17,-3.0709813622828023e-25
-2.2,-0.6999999999999995,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.7468077413207533e-17,2.74680749143084e-17,-2.4988991318307093e-24
-2.2,-0.5999999999999998,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.7446320908736163e-17,2.744632120338922e-17,2.946530573430498e-25
-2.2,-0.5000000000000001,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.742456936734847e-17,2.7424567470200534e-17,-1.8971479351778913e-24
-2.2,-0.40000000000000047,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.74028128628771e-17,2.740281375928136e-17,8.964042601588436e-25
-2.2,-0.3000000000000007,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.738106297585063e-17,2.738106003722743e-17,-2.938623201198398e-24
-2.2,-0.19999999999999923,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.735930647137926e-17,2.735930633187563e-17,-1.3950362926752937e-25
-2.2,-0.09999999999999964,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.7337554929991566e-17,2.7337552609821697e-17,-2.3201698686002034e-24
-2.2,0.0,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.7315798425520196e-17,2.7315798890551456e-17,4.650312603045872e-25
-2.2,0.09999999999999964,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.7294045229771276e-17,2.7294045179632282e-17,-5.013899457078852e-26
-2.2,0.1999999999999993,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.7272290379661132e-17,2.7272291462362814e-17,1.0827016823507169e-24
-2.2,0.3000000000000007,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.7250537183912212e-17,2.725053774526733e-17,5.61355118055111e-25
-2.2,0.4000000000000003,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.7228783988163293e-17,2.722878402460524e-17,3.644194720665369e-26
-2.2,0.5,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.7207030792414373e-17,2.7207030316469758e-17,-4.759446147494234e-25
-2.2,0.5999999999999996,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.718527594230423e-17,2.7185276594415825e-17,6.521115961300132e-25
-2.2,0.6999999999999993,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.716352274655531e-17,2.7163522872361894e-17,1.2580658498488246e-25
-2.2,0.8000000000000007,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.714176955080639e-17,2.7141769161442717e-17,-3.893636729719812e-25
