task,scenario,holdout_column,holdout_side,threshold,model,seed,rmse_target,mae_target,r2_target,rmse_raw,mae_raw,medape_percent,p95ape_percent,param_count,train_time_s,infer_bs1_s,infer_per_sample_s,storage_points,n_train,n_test,n_fit,n_val,n_fit_curves,n_val_curves,validation_overlap_groups
I_photo,voltage_extreme_reverse,light_voltage,low,-2.4000000000000004,bkan,42,0.018182541681842204,0.01559417273367011,-5.504541508170079,2.1425349277250933e-05,1.8387821381140402e-05,3.7095639053962888,6.442138844933068,1664,86.16138710000087,,,,1920,640,1632.0,288.0,,,
I_photo,voltage_extreme_reverse,light_voltage,low,-2.4000000000000004,bkan,43,0.017557410958798706,0.015107620715004724,-5.064967179003872,2.0712757428738044e-05,1.7831750551551654e-05,3.590983218740913,6.2265478672222345,1664,87.28101750003407,,,,1920,640,1632.0,288.0,,,
I_photo,voltage_extreme_reverse,light_voltage,low,-2.4000000000000004,bkan,44,0.017234117011551375,0.014877486702505905,-4.84366862202911,2.0335462543150595e-05,1.7565224801156753e-05,3.5418035174403455,6.15014902729374,1664,84.70547520002583,,,,1920,640,1632.0,288.0,,,
I_photo,length_high,active_layer_length,high,41.61779436626771,pdk_lut_knn,deterministic,0.008879276232379617,0.007537589095811873,0.8416277560853624,1.0209044019037024e-05,8.691781735657207e-06,1.6794449547495276,3.366513638482202,14336,0.002129299973603338,0.00034925999934785066,1.1189752603968372e-05,2048.0,2048,512,,,,,
I_photo,length_high,active_layer_length,high,41.61779436626771,poly3_ridge,deterministic,0.01963823245689101,0.015490817055462111,0.22530861036820138,2.218677892384763e-05,1.757809819650546e-05,2.7052179801720593,8.854685557407981,84,0.0027528000064194202,0.00012721666716970504,6.037044272488856e-07,0.0,2048,512,,,,,
I_photo,length_high,active_layer_length,high,41.61779436626771,spline_ridge,deterministic,0.009314113887507528,0.008649641971863142,0.8257362626290877,1.0742976443367836e-05,9.9549753764127e-06,2.1079782499070125,2.9858656485105395,43,0.003572800022084266,0.00033864333333137137,9.720117191136524e-07,0.0,2048,512,,,,,
I_photo,length_high,active_layer_length,high,41.61779436626771,rbf_nystroem,42,0.03987614576061199,0.031464096448095474,-2.194113068967265,4.3704040892708626e-05,3.4828801172355664e-05,5.375010304474625,18.216999873282266,2689,0.05119290004950017,0.0003287500003352761,5.63529947612551e-06,0.0,2048,512,,,,,
I_photo,length_high,active_layer_length,high,41.61779436626771,rbf_nystroem,43,0.028256637919555946,0.02205443275106573,-0.6038542869699779,3.1946539472107715e-05,2.498746564989743e-05,3.8101957139160287,13.302126011748522,2689,0.049152999999932945,0.00025093666627071796,6.0304557299180795e-06,0.0,2048,512,,,,,
I_photo,length_high,active_layer_length,high,41.61779436626771,rbf_nystroem,44,0.020423730900239613,0.016921938113440192,0.16209632468369972,2.3519593281079046e-05,1.940893782936419e-05,3.401798410557383,8.843010812119296,2689,0.0504136000527069,0.0002732933343698581,5.320234375479534e-06,0.0,2048,512,,,,,
I_photo,length_high,active_layer_length,high,41.61779436626771,mlp_l,42,0.0054104581190075685,0.004661879480749581,0.9411980111566915,6.232359805403704e-06,5.379936633742616e-06,1.028170734261634,2.1884959044348853,2561,0.4968630999792367,,,,2048,512,,,,,
